,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
48,3.28365032623414,3.3547485500413887,2.9729323993085157,3.103153114481617,-0.08540410139181655,1.0978778982830002,1.0082525062881265,0.9064546469269636,1.0605157629335304,1.0897719567875133,-0.9175000608444688,-0.20945064380727818,0.41387521318967596
49,3.3371604451858636,3.3317940935886208,2.9089077601061692,3.0956928364080047,-0.09366424565437691,1.0938290860488973,0.9964152825815935,0.9318544907345283,1.102941207960106,1.1180883028651538,-0.9236034282154256,-0.18121952650011158,0.4498259711251866
50,3.2993429322696186,3.249874382424545,2.991517144514013,3.075384784883785,-0.07977408768749739,1.093691904704093,0.9896746938113152,0.8916663566196632,1.0644341663089496,1.0622629826652397,-0.8994177268773659,-0.1963085280196208,0.41959246747695944
51,3.3473727216450095,3.3203351685245064,2.963908723208591,3.1186607453656365,-0.08027187624489346,1.0893288389085773,0.9843685939300078,0.918457082962687,1.0424699041181766,1.1094023257436394,-0.9024645783630496,-0.23071532145478743,0.40209212260508176
52,3.3892402391700402,3.424174299233938,2.8892636485718644,3.0603861260246332,-0.08811187649268787,1.0905845072526408,1.002405574276469,0.9368895264223174,1.030682578798558,1.1009338270822149,-0.9610698990358151,-0.22630986668190128,0.4685812072300061
53,3.3164040517082984,3.3801729520145702,2.937918749477105,3.093099105469381,-0.08943970372515042,1.0888141278718064,1.0039877002432418,0.9401752016789883,1.0676923764263757,1.122584658643407,-0.9757166358361283,-0.1976241901149519,0.4280654050558839
54,3.232899948402327,3.393315136967025,2.9628630348588705,3.071639909361003,-0.06572156878955765,1.0807441360831382,0.9951076898971684,0.9117669483163507,1.0450639862426248,1.0372828359990613,-0.9480319990695005,-0.23679334701738244,0.4094487107321632
55,3.4259061472731003,3.37189033385624,2.9414586081410166,3.0886195235256,-0.06604244788555502,1.0888298191139274,0.9902021041685242,0.925037475775717,1.0443444320124293,1.1218242419700186,-0.948506176789539,-0.2771037545966149,0.3940873384194098
56,3.3245839220422426,3.298156770503551,2.935130360149998,3.0337727371531136,-0.09664504717155156,1.0893319134374209,0.9911831392444882,0.9075104415089466,1.108835620659021,1.0895909540689588,-0.9140707035446851,-0.21729276640567102,0.44541476509296885
57,3.3434732476280384,3.2905585420849253,2.9067693148260716,3.0823311164455065,-0.0864358747967478,1.0886424384371844,0.9753724062579067,0.9232906656878372,1.0387334950558798,1.0844490887390328,-0.8830905550940885,-0.19345447865262064,0.4254861804024602
58,3.3306301677087067,3.2462111839923744,2.8849505925110206,3.130319215889932,-0.07487543138404443,1.0968777382329538,0.9903376655675783,0.9349149259690721,1.000493095943384,1.0917789033645435,-0.8948720491876017,-0.2093064609905824,0.42746894780751893
59,3.405402381572447,3.277764868565868,2.966278673190979,3.1760275225074626,-0.08025401683228417,1.0929487274051146,0.9953378888456905,0.9197908368962844,1.031933394573287,1.10133498037781,-0.8995913067777486,-0.23423205852179949,0.48458656505193437
60,3.399645103177243,3.405916693257504,2.941864844193513,3.132899352694203,-0.07589177411263628,1.0821738840330466,0.9970055444339205,0.9104740196807989,1.0276011813775119,1.112156186309894,-0.9486838071856706,-0.22648938263675125,0.4394378143013735
61,3.352414415306432,3.2964870473307246,2.9370210715914173,3.071450716293203,-0.07349785753414828,1.0809247109775801,0.9869747710231893,0.9239479275280338,1.039016944392519,1.0695958907403293,-0.8864515062043401,-0.2687296266896039,0.43128361965691364
62,3.2757680500778235,3.413702660888386,2.96455766474172,3.1251152789439685,-0.08590706190516983,1.097674060816173,0.9750154798441482,0.9090479756248929,1.003643964919517,1.096308196038856,-0.8980011963154791,-0.18581123667517915,0.43407905939598806
63,3.355076537326498,3.2352619542194474,2.8828883025057945,3.1299445824911416,-0.09155583176810228,1.0850389586165043,0.9641884070046093,0.9188776082650015,1.0203245718830367,1.1033011628891063,-0.8268844486002592,-0.19375465903563704,0.42719941370989845
64,3.3371811000910006,3.353872443614243,2.9253582771992344,3.0866411423748334,-0.08802078777399562,1.0857234930186934,0.9904363649671833,0.9098929456785898,1.0359132443024786,1.118900669641135,-0.929187783690034,-0.21685511267279678,0.4079858927809975
65,3.3210787749676087,3.3126123330884605,2.962120891647765,3.0089500402032696,-0.09280757315794042,1.0945566613671849,0.9871891407649991,0.9112564282090552,1.1238890491883464,1.0980376855768617,-0.9087584837296891,-0.19425786891217772,0.42952356292095906
66,3.3640665347129555,3.3574314810053836,2.935405393595282,3.0974083682170113,-0.07909850043549202,1.0901892832424394,0.9909745956675047,0.9199296057480854,1.072815791618615,1.1202477543298914,-0.9243831025755542,-0.24429236917721622,0.4242416663613678
67,3.465546702789156,3.3229186305752307,2.946733794677924,3.101399776795097,-0.08067747728702634,1.088180154864694,1.0115281133510914,0.9327721400360598,1.0601183569091321,1.1643046885946116,-0.913457496121024,-0.22582369797527804,0.41975962490554086
68,3.33421308511113,3.3178961987718303,2.932358098950899,3.0705541800930716,-0.08534737469213009,1.0885060376296094,0.990173773457046,0.9196337795342748,1.078934463806693,1.0754038356059135,-0.9058357418379446,-0.24077820916835274,0.4177566789846924
69,3.3189503854602718,3.3689706143614724,2.9446743446665753,3.159407522970214,-0.09130031636033678,1.0951967802336282,1.0042265161436614,0.9127997404804896,1.0431186750699026,1.077417981322191,-0.9589665671353461,-0.18802262900971367,0.45338678347006844
70,3.441535443866498,3.397279301915998,2.9359856333604806,3.1307442082230152,-0.08975155653567424,1.0925431421116656,0.9926535000712375,0.9399806993909727,1.0778866889726915,1.148075299654949,-0.9855739801763616,-0.1946230324234468,0.44663761374966904
71,3.2790999858437146,3.464069724403599,2.9765406761119455,3.1051902632245443,-0.08587024107865848,1.0934814636768884,0.9742620000482808,0.906022582323796,1.0270154927089583,1.0543940896323543,-0.9316255897800074,-0.22679085945524768,0.4192879118961126
72,3.352294656793586,3.2975795484271457,2.9052430092251567,3.0523712387905495,-0.09109339739792294,1.0993111434777638,0.9787065213739897,0.9086226776814519,1.093416073582653,1.1266214212167003,-0.8804723866634292,-0.1560904449305314,0.4769412222499645
